Date,Open,High,Low,Close,% Change IBEX
14/01/2008,14398,14540.90039,13608.2002,13655.40039,-5.55
21/01/2008,13477.09961,13494.40039,11937.2002,13141.09961,-3.77
28/01/2008,12880.29981,13550,12813.09961,13494.7002,2.69
04/02/2008,13608.29981,13652.09961,12721.40039,12934.79981,-4.15
11/02/2008,12830.09961,13455.90039,12774.09961,13073.90039,1.08
18/02/2008,13155.5,13393,12960.90039,13017.5,-0.43
25/02/2008,13141.79981,13505.5,12995.40039,13170.40039,1.17
03/03/2008,12998,13020.7002,12583.5,12691.29981,-3.64
10/03/2008,12673,13312.5,12571.40039,13021.40039,2.60
17/03/2008,12678.09961,13196,12638.40039,12964.2002,-0.44
24/03/2008,13370.40039,13596.40039,13299.90039,13442.40039,3.69
31/03/2008,13359.29981,13846.40039,13181.09961,13846.40039,3.01
07/04/2008,13906.7002,14019.59961,13226.40039,13278.29981,-4.10
14/04/2008,13214.79981,13945.7002,13106.79981,13924.90039,4.87
21/04/2008,13927.2002,13933.2002,13426.59961,13772.79981,-1.09
28/04/2008,13766.79981,14169.2002,13561.2002,14060,2.09
05/05/2008,14049.2002,14122.79981,13843.90039,13945.09961,-0.82
12/05/2008,13991.40039,14301.29981,13959.29981,14124.79981,1.29
19/05/2008,14148.90039,14247.59961,13577.59961,13577.59961,-3.87
26/05/2008,13524.29981,13664.2002,13397.90039,13600.90039,0.17
02/06/2008,13610.5,13612.09961,12902.40039,12909.79981,-5.08
09/06/2008,12815.90039,13022.7002,12562.29981,12998.7002,0.69
16/06/2008,12996.90039,13049.7002,12307.5,12412.5,-4.51
23/06/2008,12370.29981,12493.5,11885.09961,12089.79981,-2.60
30/06/2008,12092.5,12135.90039,11629.7002,11765.90039,-2.68
07/07/2008,11869.29981,12005.79981,11380.90039,11383.5,-3.25
14/07/2008,11448.79981,11928.7002,10932.40039,11895.29981,4.50
21/07/2008,11867.40039,12013.90039,11372.2002,11589.90039,-2.57
28/07/2008,11573.79981,11977.5,11320.7002,11569.5,-0.18
04/08/2008,11556.09961,11896.59961,11410.09961,11799.90039,1.99
11/08/2008,11806.09961,12078.7002,11527.59961,11686.09961,-0.96
18/08/2008,11674.2002,11784.29981,11185.5,11497.29981,-1.62
25/08/2008,11453.90039,11742,11218.90039,11707.29981,1.83
01/09/2008,11607.5,11936.29981,11118.5,11139.7002,-4.85
08/09/2008,11343.09961,11657.5,10980.2002,11412,2.44
