Date,Open,High,Low,Close,% Change HS
29/08/2011,19883.06055,20975.30078,19749.40039,20212.91016,3.22
05/09/2011,19830.5,20159.28906,19290.40039,19866.63086,-1.71
12/09/2011,19264.67969,19652.5293,18627.65039,19455.31055,-2.07
19/09/2011,19247.58984,19247.58984,17373.41016,17668.83008,-9.18
26/09/2011,17634.41992,18136.01953,16999.53906,17592.41016,-0.43
03/10/2011,17179.19922,17800.7207,16170.34961,17707.00977,0.65
10/10/2011,17853.25977,18758.74023,17437.83984,18501.78906,4.49
17/10/2011,18808.66016,18908.16992,17782,18025.7207,-2.57
24/10/2011,18444.16016,20272.38086,18435.41016,20019.24023,11.06
31/10/2011,20027.7207,20155.61914,19024.07031,19842.78906,-0.88
07/11/2011,19894.2207,20173.14063,18945.58008,19137.16992,-3.56
14/11/2011,19600.36914,19640.67969,18398.96094,18491.23047,-3.38
21/11/2011,18213.7207,18355.11914,17613.19922,17689.48047,-4.34
28/11/2011,18019.21094,19151.65039,17860.80078,19040.39063,7.64
05/12/2011,19117.89063,19242.80078,18511.41992,18586.23047,-2.39
12/12/2011,18853.32031,18919.41992,17895.15039,18285.39063,-1.62
19/12/2011,18053.64063,18636.75,17821.51953,18629.16992,1.88
26/12/2011,18629.16992,18629.16992,18293.81055,18434.39063,-1.05
02/01/2012,18770.64063,18970.59961,18506.58008,18593.06055,0.86
09/01/2012,18588.35938,19261.28906,18302.83984,19204.41992,3.29
16/01/2012,19070.74023,20161.7207,18985.75,20110.36914,4.72
23/01/2012,20110.36914,20590.80078,20110.36914,20501.66992,1.95
30/01/2012,20518,20796.74023,20144.94922,20756.98047,1.25
06/02/2012,21015.55078,21053.06055,20633.13086,20783.85938,0.13
13/02/2012,20718.80078,21546.73047,20673.96094,21491.61914,3.41
20/02/2012,21760.33984,21760.33984,21221.39063,21406.85938,-0.39
27/02/2012,21381.66016,21716.75977,21076.51953,21562.25977,0.73
05/03/2012,21518.0293,21578.75977,20521.96094,21086,-2.21
12/03/2012,21073.58984,21638.32031,20924.35938,21317.84961,1.10
