Date,Open,High,Low,Close,% Change NK
31/08/2009,10608.16016,10767,10143.25977,10187.11035,-3.29
07/09/2009,10288.55957,10522.23047,10249.11035,10444.33008,2.52
14/09/2009,10388.32031,10443.79981,10170.74023,10370.54004,-0.71
21/09/2009,10405.53027,10566.98047,10228.59961,10265.98047,-1.01
28/09/2009,10136.24023,10151.59961,9714.179688,9731.870117,-5.20
05/10/2009,9733.070313,10016.38965,9628.669922,10016.38965,2.92
12/10/2009,10066.84961,10290.30957,10016.24023,10257.55957,2.41
19/10/2009,10179.45996,10364.16992,10125.33008,10282.99023,0.25
26/10/2009,10271.83984,10397.69043,9850.120117,10034.74023,-2.41
02/11/2009,9903.769531,9904.610352,9691.69043,9789.349609,-2.45
09/11/2009,9777.639648,9979.459961,9719.379883,9770.30957,-0.19
16/11/2009,9784.139648,9847.639648,9423.660156,9497.679688,-2.79
23/11/2009,9511,9511,9076.410156,9081.519531,-4.38
30/11/2009,9189.169922,10022.58984,9162.179688,10022.58984,10.36
07/12/2009,10131.90039,10204.58008,9834.219727,10107.87012,0.85
14/12/2009,10126.61035,10260.12012,10009.59961,10142.04981,0.34
21/12/2009,10196.70996,10558.41016,10183.46973,10494.70996,3.48
28/12/2009,10521.80957,10707.50977,10513.54981,10546.44043,0.49
04/01/2010,10609.33984,10816.4502,10608.13965,10798.32031,2.39
11/01/2010,10770.34961,10982.09961,10729.86035,10982.09961,1.70
18/01/2010,10887.61035,10895.09961,10528.33008,10590.54981,-3.57
25/01/2010,10478.30957,10566.49023,10198.04004,10198.04004,-3.71
01/02/2010,10212.36035,10438.41016,10036.33008,10057.08984,-1.38
08/02/2010,10007.46973,10099.45996,9867.389648,10092.19043,0.35
15/02/2010,10097.82031,10354.41992,10012.53027,10123.58008,0.31
22/02/2010,10302.07031,10449.75,10085.12988,10126.03027,0.02
01/03/2010,10128.73047,10376.41016,10116.86035,10368.95996,2.40
08/03/2010,10538.12012,10777.49023,10514.28027,10751.25977,3.69
15/03/2010,10802.11035,10864.29981,10708.96973,10824.71973,0.68
22/03/2010,10793.04981,11001.58984,10766.65039,10996.37012,1.59
29/03/2010,10909.98047,11313.98047,10901.2002,11286.08984,2.63
05/04/2010,11380.62988,11408.16992,11148.79981,11204.33984,-0.72
12/04/2010,11300.79004,11351.54981,11084.71973,11102.17969,-0.91
19/04/2010,10929.63965,11093.29981,10865.91992,10914.45996,-1.69
26/04/2010,11039.58984,11213.4502,10882.40039,11057.40039,1.31
03/05/2010,10847.90039,10847.90039,10257.32031,10364.58984,-6.27
10/05/2010,10399.04981,10643.28027,10345.19043,10462.50977,0.94
17/05/2010,10329.37012,10336.53027,9696.629883,9784.540039,-6.48
24/05/2010,9754.990234,9824.849609,9395.290039,9762.980469,-0.22
31/05/2010,9735.469727,9962.419922,9560.160156,9901.19043,1.42
07/06/2010,9705.360352,9764.730469,9378.230469,9705.25,-1.98
14/06/2010,9824.929688,10109.86035,9819.950195,9995.019531,2.99
21/06/2010,10109.26953,10251.90039,9697.870117,9737.480469,-2.58
28/06/2010,9758.910156,9762.230469,9147.679688,9203.709961,-5.48
05/07/2010,9230,9610.589844,9091.700195,9585.320313,4.15
12/07/2010,9540.469727,9807.360352,9392.209961,9408.360352,-1.85
19/07/2010,9267.240234,9474.110352,9176.120117,9430.959961,0.24
26/07/2010,9520.730469,9760.30957,9487.650391,9537.299805,1.13
02/08/2010,9574.639648,9750.879883,9474.669922,9642.120117,1.10
09/08/2010,9535.509766,9667.040039,9065.94043,9253.459961,-4.03
16/08/2010,9145.219727,9362.679688,9084.240234,9179.379883,-0.80
23/08/2010,9147.240234,9171.419922,8807.410156,8991.05957,-2.05
30/08/2010,9141.450195,9280.700195,8796.450195,9114.129883,1.37
06/09/2010,9199.990234,9311.019531,8997.629883,9239.169922,1.37
13/09/2010,9325.639648,9643.280273,9199.080078,9626.089844,4.19
20/09/2010,9700.879883,9704.25,9415.959961,9471.669922,-1.60
27/09/2010,9557.370117,9613.469727,9358.620117,9404.230469,-0.71
04/10/2010,9410.919922,9716.919922,9332.19043,9588.879883,1.96
11/10/2010,9648.589844,9650.200195,9387.730469,9500.25,-0.92
18/10/2010,9517.679688,9575.139648,9316.969727,9426.709961,-0.77
25/10/2010,9424.44043,9460.700195,9179.150391,9202.450195,-2.38
01/11/2010,9166.849609,9680.679688,9123.620117,9625.990234,4.60
08/11/2010,9699.790039,9885.370117,9659.860352,9724.80957,1.03
15/11/2010,9782.110352,10130.23047,9693.209961,10022.38965,3.06
22/11/2010,10133.48047,10157.96973,9904.919922,10039.55957,0.17
29/11/2010,10075.66016,10254,9918.549805,10178.32031,1.38
06/12/2010,10175.23047,10373.7002,10094.41016,10211.9502,0.33
13/12/2010,10212.51953,10347.38965,10199.73047,10303.83008,0.90
20/12/2010,10296.54981,10394.21973,10182.74023,10279.19043,-0.24
27/12/2010,10292.83984,10376.91016,10209.92969,10228.91992,-0.49
03/01/2011,10352.19043,10550.70996,10321.28027,10541.04004,3.05
