Date,Open,High,Low,Close,% Change DJIA
08/10/2012,13589.25977,13610.37988,13296.42969,13328.84961,-2.0668
15/10/2012,13329.54004,13588.73047,13312.21973,13343.50977,0.1100
22/10/2012,13344.28027,13368.54981,13017.37012,13107.20996,-1.7709
29/10/2012,13107.44043,13289.4502,13052.07031,13093.16016,-0.1072
05/11/2012,13092.28027,13290.75,12743.38965,12815.38965,-2.1215
12/11/2012,12815.92969,12898.25,12471.49023,12588.30957,-1.7719
19/11/2012,12590.23047,13011.4502,12590.23047,13009.53027,3.3461
26/11/2012,13008.4502,13062.55957,12765.32031,13025.58008,0.1234
03/12/2012,13027.73047,13157.28027,12923.44043,13155.12988,0.9946
10/12/2012,13154.88965,13329.44043,13118.45996,13135.00977,-0.1529
17/12/2012,13135.16992,13365.86035,13122.53027,13190.83984,0.4250
24/12/2012,13190.15039,13190.37988,12926.86035,12938.11035,-1.9159
31/12/2012,12938.19043,13447.11035,12883.88965,13435.20996,3.8421
07/01/2013,13436.12988,13496.67969,13293.12988,13488.42969,0.3961
14/01/2013,13488.42969,13649.92969,13445.79981,13649.7002,1.1956
21/01/2013,13649.7002,13895.98047,13622.95996,13895.98047,1.8043
28/01/2013,13895.98047,14019.78027,13860.58008,14009.79004,0.8190
04/02/2013,14009.79004,14022.62012,13852.2002,13992.96973,-0.1201
11/02/2013,13992.96973,14038.96973,13906.73047,13981.75977,-0.0801
18/02/2013,13981.75977,14058.26953,13834.40039,14000.57031,0.1345
25/02/2013,14000.57031,14149.15039,13784.00977,14089.66016,0.6363
04/03/2013,14089.66016,14413.16992,14030.37012,14397.07031,2.1818
11/03/2013,14397.07031,14539.29004,14373.32031,14514.11035,0.8129
18/03/2013,14514.11035,14546.82031,14382.08984,14512.03027,-0.0143
25/03/2013,14512.03027,14585.09961,14395,14578.54004,0.4583
01/04/2013,14578.54004,14684.49023,14434.42969,14565.25,-0.0912
08/04/2013,14565.25,14887.50977,14497.79981,14865.05957,2.0584
15/04/2013,14865.05957,14865.05957,14444.03027,14547.50977,-2.1362
22/04/2013,14547.50977,14768.04981,14457.59961,14712.54981,1.1345
29/04/2013,14712.54981,15009.58984,14687.04981,14973.95996,1.7768
06/05/2013,14973.95996,15144.83008,14941.08984,15118.49023,0.9652
13/05/2013,15113.41992,15357.40039,15053.45996,15354.40039,1.5604
20/05/2013,15348.33008,15542.40039,15180.23047,15303.09961,-0.3341
27/05/2013,15307.33008,15521.49023,15115.57031,15115.57031,-1.2254
03/06/2013,15123.54981,15304.98047,14844.21973,15248.12012,0.8769
10/06/2013,15247.80957,15300.63965,14953.4502,15070.17969,-1.1670
17/06/2013,15078.70996,15340.08984,14688.42969,14799.40039,-1.7968
24/06/2013,14795.79004,15075.00977,14551.26953,14909.59961,0.7446
01/07/2013,14911.59961,15137.50977,14858.92969,15135.83984,1.5174
08/07/2013,15137.21973,15498.38965,15137.21973,15464.29981,2.1701
15/07/2013,15459.69043,15589.40039,15415.70996,15543.74023,0.5137
22/07/2013,15543.96973,15604.21973,15405.16016,15558.83008,0.0971
29/07/2013,15557.13965,15658.42969,15479.12988,15658.36035,0.6397
05/08/2013,15651.98047,15655.20996,15346.65039,15425.50977,-1.4871
12/08/2013,15415.21973,15504.13965,15054.37988,15081.46973,-2.2303
19/08/2013,15076.79004,15106.38965,14880.83984,15010.50977,-0.4705
26/08/2013,15014.58008,15049.98047,14760.41016,14810.30957,-1.3337
02/09/2013,14801.54981,15009.83984,14777.48047,14922.5,0.7575
09/09/2013,14927.19043,15380.96973,14927.19043,15376.05957,3.0394
16/09/2013,15381.36035,15709.58008,15381.36035,15451.08984,0.4880
23/09/2013,15452.30957,15466.9502,15211.80957,15258.24023,-1.2481
30/09/2013,15249.82031,15249.82031,14947.03027,15072.58008,-1.2168
07/10/2013,15069.29981,15237.29981,14719.42969,15237.11035,1.0916
14/10/2013,15231.33008,15412.96973,15136.37988,15399.65039,1.0667
21/10/2013,15401.32031,15570.59961,15362.66016,15570.28027,1.1080
28/10/2013,15569.19043,15721,15533.48047,15615.54981,0.2907
04/11/2013,15621.2002,15797.67969,15522.17969,15761.78027,0.9364
11/11/2013,15759.28027,15962.98047,15672,15961.7002,1.2684
18/11/2013,15962.71973,16068.78027,15865.37012,16064.76953,0.6457
25/11/2013,16072.08984,16174.50977,16055.45996,16086.41016,0.1347
02/12/2013,16087.12012,16098,15791.29004,16020.2002,-0.4116
09/12/2013,16019.49023,16058.40039,15703.79004,15755.36035,-1.6532
16/12/2013,15759.59961,16287.83984,15759.59961,16221.13965,2.9563
23/12/2013,16225.25,16529.00977,16225.25,16478.41016,1.5860
30/12/2013,16484.50977,16588.25,16416.49023,16469.99023,-0.0511
06/01/2014,16474.03906,16562.32031,16378.61035,16437.05078,-0.2000
13/01/2014,16434.0293,16505.2793,16240.59961,16458.56055,0.1309
20/01/2014,16459.26953,16520.59961,15879.11035,15879.11035,-3.5207
27/01/2014,15879.04981,15945.88965,15617.54981,15698.84961,-1.1352
03/02/2014,15697.69043,15798.50977,15340.69043,15794.08008,0.6066
10/02/2014,15793.62988,16175.54981,15733.69043,16154.38965,2.2813
17/02/2014,16153.96973,16225.71973,16006.58984,16103.29981,-0.3163
24/02/2014,16102.26953,16398.94922,16102.26953,16321.70996,1.3563
03/03/2014,16321.70996,16505.69922,16071.25,16452.7207,0.8027
10/03/2014,16453.09961,16460.33008,16046.99023,16065.66992,-2.3525
17/03/2014,16066.37012,16456.44922,16066.37012,16302.76953,1.4758
24/03/2014,16303.28027,16466.03906,16191.79004,16323.05957,0.1245
31/03/2014,16324.21973,16631.63086,16324.21973,16412.71094,0.5492
07/04/2014,16414.15039,16456.11914,16015.32031,16026.75,-2.3516
14/04/2014,16028.29004,16460.49023,16028.29004,16408.53906,2.3822
21/04/2014,16408.91992,16565.71094,16333.78027,16361.45996,-0.2869
28/04/2014,16363.2002,16620.06055,16312.66016,16512.89063,0.9255
05/05/2014,16509.75,16622.94922,16357.34961,16583.33984,0.4266
12/05/2014,16584.82031,16735.50977,16397.46094,16491.31055,-0.5550
19/05/2014,16490.34961,16613.07031,16341.29981,16606.26953,0.6971
26/05/2014,16607.41992,16721.2207,16607.41992,16717.16992,0.6678
02/06/2014,16716.84961,16924.2793,16673.65039,16924.2793,1.2389
09/06/2014,16926.08008,16970.16992,16703.73047,16775.74023,-0.8777
16/06/2014,16765.56055,16978.01953,16722.85938,16947.08008,1.0214
23/06/2014,16946.5,16969.69922,16746.08984,16851.83984,-0.5620
30/06/2014,16852.49023,17074.65039,16801.93945,17068.25977,1.2843
07/07/2014,17063.83008,17063.83008,16805.38086,16943.81055,-0.7291
14/07/2014,16950.92969,17151.56055,16950.92969,17100.17969,0.9229
21/07/2014,17095.10938,17133.42969,16915.65039,16960.57031,-0.8164
28/07/2014,16956.91016,17056.46094,16437.07031,16493.36914,-2.7546
04/08/2014,16493.7207,16596.2207,16333.78027,16553.92969,0.3672
11/08/2014,16557.26953,16775.26953,16518.06055,16662.91016,0.6583
18/08/2014,16664.44922,17074.58984,16664.44922,17001.2207,2.0303
25/08/2014,17011.81055,17153.80078,17011.81055,17098.44922,0.5719
01/09/2014,17097.41992,17161.55078,17009.07031,17137.35938,0.2276
08/09/2014,17131.71094,17137.88086,16937.66992,16987.50977,-0.8744
15/09/2014,16988.75977,17350.64063,16951.38086,17279.74023,1.7203
22/09/2014,17271.71094,17277.88086,16945.80078,17113.15039,-0.9641
29/09/2014,17107.68945,17145.09961,16674.03906,17009.68945,-0.6046
06/10/2014,17010.33984,17099.39063,16543.91016,16544.09961,-2.7372
13/10/2014,16535.42969,16602.41016,15855.12012,16380.41016,-0.9894
