Date,Open,High,Low,Close,Volume
4/1/2011,1.3136,1.3318,1.3126,1.3131,0
5/1/2011,1.3224,1.327,1.3149,1.3222,0
6/1/2011,1.3158,1.3198,1.3098,1.3155,0
7/1/2011,1.30769,1.3101,1.298,1.3067,0
10/1/2011,1.2952,1.3062,1.2928,1.2955,0
11/1/2011,1.3028,1.31707,1.3022,1.3027,0
12/1/2011,1.3211,1.3211,1.3079,1.3214,0
13/1/2011,1.3179,1.3359,1.315,1.3177,0
14/1/2011,1.3374,1.3537,1.3371,1.3371,0
17/1/2011,1.35013,1.35146,1.334,1.34999,0
18/1/2011,1.3374,1.3468,1.336,1.3367,0
19/1/2011,1.3408,1.345,1.336,1.3405,0
20/1/2011,1.34907,1.3646,1.3475,1.3486,0
21/1/2011,1.3658,1.373,1.3644,1.366,0
24/1/2011,1.375,1.37853,1.366,1.3759,0
25/1/2011,1.3668,1.378,1.3647,1.3675,0
26/1/2011,1.3745,1.3748,1.367,1.3748,0
27/1/2011,1.3709,1.3854,1.3704,1.37164,0
28/1/2011,1.3859,1.3872,1.3709,1.3861,0
31/1/2011,1.375,1.3785,1.367,1.37489,0
1/2/2011,1.3745,1.3758,1.361,1.3747,0
2/2/2011,1.3666,1.3712,1.364,1.36727,0
3/2/2011,1.36586,1.367,1.3472,1.3652,0
4/2/2011,1.3425,1.343,1.3296,1.342,0
7/2/2011,1.3398,1.344,1.3312,1.34,0
8/2/2011,1.3408,1.3492,1.335,1.3411,0
9/2/2011,1.3416,1.3549,1.3414,1.34229,0
10/2/2011,1.3569,1.3606,1.353,1.3571,0
11/2/2011,1.3578,1.3603,1.3515,1.3576,0
14/2/2011,1.3489,1.349,1.34,1.349,0
15/2/2011,1.3447,1.3528,1.3435,1.3449,0
16/2/2011,1.3531,1.3583,1.348,1.3532,0
17/2/2011,1.3526,1.3549,1.3467,1.3527,0
18/2/2011,1.3457,1.3498,1.339,1.3457,0
21/2/2011,1.3516,1.3541,1.349,1.3514,0
22/2/2011,1.3565,1.3665,1.35,1.3558,0
23/2/2011,1.3668,1.37796,1.3644,1.3668,0
24/2/2011,1.37198,1.37274,1.361,1.3714,0
25/2/2011,1.3671,1.3677,1.3509,1.367,0
28/2/2011,1.35392,1.3647,1.3515,1.3534,0
1/3/2011,1.3562,1.3607,1.3544,1.3566,0
2/3/2011,1.3581,1.36705,1.3575,1.35834,0
3/3/2011,1.3643,1.37622,1.3594,1.3643,0
4/3/2011,1.3779,1.3842,1.3752,1.3778,0
7/3/2011,1.37877,1.3813,1.376,1.3786,0
8/3/2011,1.3792,1.3827,1.375,1.3791,0
9/3/2011,1.3762,1.3796,1.372,1.3766,0
10/3/2011,1.3767,1.3814,1.375,1.3766,0
11/3/2011,1.3772,1.3831,1.372,1.3772,0
14/3/2011,1.3799,1.3884,1.3766,1.3794,0
15/3/2011,1.38666,1.4142,1.386,1.3862,0
16/3/2011,1.4072,1.4135,1.402,1.4066,0
17/3/2011,1.4182,1.4291,1.4152,1.4171,0
18/3/2011,1.4263,1.4274,1.4115,1.4252,0
21/3/2011,1.419,1.4224,1.406,1.4201,0
22/3/2011,1.4134,1.41601,1.401,1.4128,0
23/3/2011,1.4044,1.4067,1.396,1.4041,0
24/3/2011,1.3915,1.39242,1.386,1.39199,0
25/3/2011,1.3888,1.39087,1.374,1.38896,0
28/3/2011,1.3689,1.37384,1.3645,1.369,0
29/3/2011,1.3744,1.3799,1.3708,1.3745,0
30/3/2011,1.3712,1.37126,1.3618,1.3709,0
31/3/2011,1.3682,1.3752,1.3659,1.368,0
1/4/2011,1.3692,1.3724,1.3604,1.37012,0
4/4/2011,1.3684,1.37589,1.367,1.368,0
5/4/2011,1.3716,1.37611,1.37,1.37165,0
6/4/2011,1.3775,1.3793,1.371,1.3778,0
7/4/2011,1.3729,1.3734,1.358,1.3734,0
8/4/2011,1.3667,1.371,1.365,1.3671,0
11/4/2011,1.3684,1.37197,1.366,1.369,0
12/4/2011,1.3745,1.3849,1.3737,1.3737,0
13/4/2011,1.38483,1.38676,1.375,1.38494,0
14/4/2011,1.3757,1.3781,1.37,1.3755,0
15/4/2011,0,0,0,0,0
18/4/2011,1.3634,1.36599,1.3523,1.3642,0
19/4/2011,1.3564,1.3643,1.3558,1.3562,0
20/4/2011,1.3602,1.3635,1.357,1.3605,0
21/4/2011,1.3584,1.3614,1.352,1.358,0
22/4/2011,1.3535,1.3577,1.353,1.3537,0
25/4/2011,1.3525,1.3612,1.3524,1.35254,0
26/4/2011,1.3586,1.3627,1.3552,1.359,0
27/4/2011,1.3601,1.3604,1.353,1.3604,0
