Date,Open,High,Low,Close,Change
31/12/2007,112.279999,112.290001,107.989998,108.580002,0.0328
07/01/2008,108.580002,110.089996,107.269997,108.839996,-0.0024
14/01/2008,108.885002,108.919998,105.93,106.870003,0.0181
21/01/2008,106.891998,107.870003,105.040001,106.754997,0.0011
28/01/2008,106.75,107.43,105.730003,106.580002,0.0016
04/02/2008,106.559998,107.800003,105.940002,107.459999,-0.0083
11/02/2008,107.459999,108.559998,106.370003,107.790001,-0.0031
18/02/2008,107.800003,108.330002,106.760002,107.309998,0.0045
25/02/2008,107.309998,108.190002,103.080002,103.089996,0.0393
03/03/2008,103.040001,107.739998,101.57,102.260002,0.0081
10/03/2008,102.290001,103.550003,98.120003,98.139999,0.0403
17/03/2008,98.139999,100.43,95.839996,99.57,-0.0146
24/03/2008,99.610001,100.995003,98.580002,98.970001,0.0060
31/03/2008,98.940002,102.93,98.940002,101.610001,-0.0267
07/04/2008,101.610001,108.279999,100.080002,101.230003,0.0037
14/04/2008,101.25,104.610001,100.330002,104.010002,-0.0275
21/04/2008,104,104.809998,102.679001,104.449997,-0.0042
28/04/2008,104.440002,105.629997,103.230003,105.290001,-0.0080
05/05/2008,105.300003,108.410004,102.617996,102.870003,0.0230
12/05/2008,102.889999,105.43,102.580002,104.099998,-0.0120
19/05/2008,104.122002,104.669998,102.730003,103.348,0.0072
26/05/2008,103.349998,105.849998,103.129997,105.43,-0.0201
02/06/2008,105.400002,109.876999,103.910004,109.599998,-0.0396
09/06/2008,104.610001,108.360001,104.610001,108.199997,0.0128
16/06/2008,108.220001,108.57,107.050003,107.43,0.0071
23/06/2008,107.432999,108.32,105.660004,106.272003,0.0108
30/06/2008,106.260002,106.892998,105.029999,106.75,-0.0045
07/07/2008,106.75,109.690002,105.718002,106.440002,0.0029
14/07/2008,106.419998,106.989998,103.800003,106.920998,-0.0045
21/07/2008,106.93,107.970001,106.073997,107.82,-0.0084
28/07/2008,107.823997,108.360001,107.290001,107.809998,0.0001
04/08/2008,109.419998,110.362,109.279999,110.169998,-0.0219
11/08/2008,null,null,null,110.518,-0.0032
18/08/2008,null,null,null,110.051,0.0042
25/08/2008,109.879997,109.910004,108.199997,108.43,0.0147
01/09/2008,108.440002,109.160004,105.699997,108.489998,-0.0006
08/09/2008,108.480003,109.040001,105.300003,106.292,0.0203
15/09/2008,106.32,107.959999,103.580002,106.841003,-0.0052
22/09/2008,106.839996,106.970001,105.059998,106.279999,0.0053
29/09/2008,106.269997,106.924004,103.639999,105.059998,0.0115
06/10/2008,105.040001,110.389999,98.150002,100.699997,0.0415
13/10/2008,100.683998,102.990997,99.300003,101.470001,-0.0076
20/10/2008,101.440002,102.370003,91.016998,93.660004,0.0770
27/10/2008,93.68,99.559998,92.189003,98.5,-0.0517
