Date,Open,High,Low,Close,% Change FTSE
06/10/2008,4980.299805,4980.299805,3874,3932.100098,-21.05
13/10/2008,3932.100098,4534.399902,3808.100098,4063,3.33
20/10/2008,4063,4347.700195,3715.199951,3883.399902,-4.42
27/10/2008,3883.399902,4383.899902,3665.199951,4377.299805,12.72
03/11/2008,4377.299805,4639.5,4260.299805,4365,-0.28
10/11/2008,4365,4524.899902,4079.600098,4233,-3.02
17/11/2008,4233,4236.399902,3734.100098,3781,-10.68
24/11/2008,3781,4288,3781,4288,13.41
01/12/2008,4288,4288,3973.300049,4049.399902,-5.56
08/12/2008,4049.399902,4430.299805,4049.399902,4280.399902,5.70
15/12/2008,4280.399902,4352.700195,4200.700195,4286.899902,0.15
22/12/2008,4286.899902,4307.100098,4205.200195,4216.600098,-1.64
29/12/2008,4216.600098,4561.799805,4216.600098,4561.799805,8.19
05/01/2009,4561.799805,4675.700195,4410.5,4448.5,-2.48
12/01/2009,4448.5,4471.299805,4090.899902,4147.100098,-6.78
19/01/2009,4147.100098,4251.899902,3956.699951,4052.5,-2.28
26/01/2009,4052.5,4317.600098,4039.399902,4149.600098,2.40
02/02/2009,4149.600098,4330.700195,4036.899902,4291.899902,3.43
09/02/2009,4291.899902,4334,4135.100098,4189.600098,-2.38
16/02/2009,4189.600098,4189.600098,3877.800049,3889.100098,-7.17
23/02/2009,3889.100098,3960,3760.699951,3830.100098,-1.52
02/03/2009,3830.100098,3830.100098,3492.100098,3530.699951,-7.82
09/03/2009,3530.699951,3816,3460.699951,3753.699951,6.32
16/03/2009,3753.699951,3912.600098,3753.699951,3842.899902,2.38
23/03/2009,3842.899902,3992.399902,3842.899902,3898.899902,1.46
30/03/2009,3898.899902,4137.899902,3762.899902,4029.699951,3.35
06/04/2009,4029.699951,4097.200195,3876.100098,3983.699951,-1.14
13/04/2009,3983.699951,4114.299805,3939.600098,4092.800049,2.74
20/04/2009,4092.800049,4156,3897.300049,4156,1.54
27/04/2009,4156,4293.600098,4058.699951,4243.200195,2.10
04/05/2009,4243.200195,4520.799805,4243.200195,4462.100098,5.16
11/05/2009,4462.100098,4470.100098,4295.200195,4348.100098,-2.55
18/05/2009,4348.100098,4512.700195,4307.700195,4365.299805,0.40
25/05/2009,4365.299805,4469.399902,4295,4417.899902,1.20
01/06/2009,4417.899902,4517.600098,4359.299805,4438.600098,0.47
08/06/2009,4438.600098,4505.899902,4370.600098,4442,0.08
15/06/2009,4442,4442,4239.700195,4345.899902,-2.16
22/06/2009,4345.899902,4345.899902,4213.399902,4241,-2.41
29/06/2009,4241,4353,4221.200195,4236.299805,-0.11
06/07/2009,4236.299805,4242.100098,4123.5,4127.200195,-2.58
13/07/2009,4127.200195,4411.899902,4096.100098,4388.799805,6.34
20/07/2009,4388.799805,4603.200195,4388.799805,4576.600098,4.28
27/07/2009,4576.600098,4646.899902,4512.100098,4608.399902,0.69
03/08/2009,4608.399902,4743.600098,4595.600098,4731.600098,2.67
10/08/2009,4731.600098,4790.200195,4631.700195,4714,-0.37
17/08/2009,4714,4858.5,4610.299805,4850.899902,2.90
24/08/2009,4850.899902,4944.200195,4850.899902,4908.899902,1.20
31/08/2009,4908.899902,4921.200195,4776.5,4851.700195,-1.17
07/09/2009,4851.700195,5038.799805,4851.700195,5011.5,3.29
