Date,Open,High,Low,Close,% Change AEX
28/04/2008,468.420013,483.420013,468.320007,481.209991,2.86
05/05/2008,480.209991,487.380005,477.019989,480.399994,-0.17
12/05/2008,483.600006,494.929993,476.350006,490.779999,2.16
19/05/2008,491.709991,496.119995,478.390015,478.390015,-2.52
26/05/2008,479.26001,487.859985,473.019989,485.519989,1.49
02/06/2008,483.850006,487.320007,471.230011,471.230011,-2.94
09/06/2008,469.309998,472.470001,452.480011,459.959991,-2.39
16/06/2008,459.779999,464.320007,434.790009,437.329987,-4.92
23/06/2008,436.76001,441.100006,419.350006,425.920013,-2.61
30/06/2008,427.48999,428.790009,400.23999,403.359985,-5.3
07/07/2008,407.279999,412.200012,391.980011,391.980011,-2.82
14/07/2008,397.480011,399.649994,374.089996,395.940002,1.01
21/07/2008,395.390015,408.279999,390.73999,395.769989,-0.04
28/07/2008,394.929993,406.220001,387.040009,394.529999,-0.31
04/08/2008,393.440002,412.380005,391.75,408.519989,3.55
11/08/2008,409.600006,417.420013,405.920013,409.859985,0.33
18/08/2008,409,414.470001,396.799988,408.190002,-0.41
25/08/2008,406.179993,415.109985,397.089996,412.839996,1.14
01/09/2008,409.380005,416.279999,388.350006,389.220001,-5.72
08/09/2008,405.059998,405.269989,387.670013,399.570007,2.66
15/09/2008,386.700012,388.690002,349.76001,381.829987,-4.44
22/09/2008,383.179993,385.429993,354.579987,354.579987,-7.14
29/09/2008,354.220001,354.220001,310.670013,344.019989,-2.98
06/10/2008,328.119995,329.890015,254.360001,258.049988,-24.99
13/10/2008,272.959991,302.769989,242.369995,252.259995,-2.24
20/10/2008,258.26001,275.730011,232.429993,245.919998,-2.51
27/10/2008,235.339996,267.690002,231.5,267.690002,8.85
03/11/2008,269.570007,291.130005,257.649994,265.720001,-0.74
10/11/2008,273.029999,278.190002,243.649994,252.470001,-4.99
17/11/2008,252.320007,254.059998,220.119995,222.929993,-11.7
24/11/2008,226.720001,254.380005,226.429993,252.550003,13.29
01/12/2008,252.820007,252.820007,227.770004,229.440002,-9.15
08/12/2008,245.910004,257.529999,240.270004,247.75,7.98
15/12/2008,250.639999,253.110001,243.539993,249.539993,0.72
22/12/2008,248.020004,248.889999,240.600006,241.899994,-3.06
29/12/2008,243.309998,258.230011,239.369995,258.230011,6.75
05/01/2009,261.25,271.910004,256.709991,266.179993,3.08
12/01/2009,264.950012,266.799988,241.559998,248.550003,-6.62
19/01/2009,252.309998,255.300003,227.529999,234.139999,-5.8
26/01/2009,234.690002,258.369995,234,248.600006,6.18
02/02/2009,245.419998,262.559998,241.710007,261.350006,5.13
09/02/2009,259.399994,263.950012,244.960007,251.119995,-3.91
16/02/2009,249.220001,250.399994,228.479996,229.130005,-8.76
23/02/2009,232.880005,233.339996,214.960007,219.809998,-4.07
02/03/2009,214.449997,214.449997,198.220001,199.5,-9.24
