Date,Open,High,Low,Close,% Change ISEQ
26/07/2010,2918.080078,2979.72998,2882.709961,2915.360107,-0.09
02/08/2010,2914.899902,2992.23999,2911.439941,2933.929932,0.64
09/08/2010,2931.560059,2984.540039,2824.639893,2824.639893,-3.73
16/08/2010,2824.639893,2878.209961,2755.659912,2756.120117,-2.43
23/08/2010,2756.120117,2807.550049,2607.969971,2669.699951,-3.14
30/08/2010,2669.98999,2812.139893,2646.070068,2799.899902,4.88
06/09/2010,2799.899902,2811.040039,2740.179932,2780.600098,-0.69
13/09/2010,2781.090088,2828.050049,2702.800049,2706.649902,-2.66
20/09/2010,2706.649902,2767.570068,2661.709961,2698.830078,-0.29
27/09/2010,2698.830078,2719.100098,2634.26001,2662.030029,-1.36
04/10/2010,2662.030029,2759.580078,2643.939941,2713.709961,1.94
11/10/2010,2713.709961,2745.169922,2674.840088,2682.360107,-1.16
18/10/2010,2684.070068,2754.969971,2657.659912,2719.649902,1.39
25/10/2010,2719.649902,2731.129883,2665.209961,2684.25,-1.30
01/11/2010,2684.290039,2770.090088,2657.679932,2701.51001,0.64
08/11/2010,2701.51001,2780.169922,2645.649902,2675.72998,-0.95
15/11/2010,2674.949951,2804.879883,2650.48999,2798.469971,4.59
22/11/2010,2798.469971,2824.919922,2624.050049,2666.77002,-4.71
29/11/2010,2667.659912,2767.639893,2634.889893,2741.27002,2.79
06/12/2010,2741.27002,2859.060059,2733.800049,2831.830078,3.30
13/12/2010,2833.73999,2871.27002,2815.01001,2819.439941,-0.44
20/12/2010,2819.439941,2891.659912,2815.27002,2876.699951,2.03
27/12/2010,2876.699951,2903.379883,2869.790039,2885.100098,0.29
03/01/2011,2885.100098,2926.48999,2838.639893,2870.840088,-0.49
10/01/2011,2870.310059,2944.419922,2855.530029,2919.810059,1.71
17/01/2011,2919.810059,2955.110107,2824.209961,2845.550049,-2.54
24/01/2011,2845.550049,2940.459961,2845.550049,2890.669922,1.59
31/01/2011,2890.669922,2989.889893,2852.810059,2985.840088,3.29
07/02/2011,2985.840088,3032.090088,2913.649902,2972.070068,-0.46
14/02/2011,2973.26001,3010.300049,2961.370117,3005.389893,1.12
21/02/2011,3005.800049,3005.800049,2885.610107,2943.350098,-2.06
28/02/2011,2943.350098,3010.659912,2911.820068,2920.179932,-0.79
07/03/2011,2919.810059,2934.199951,2835.629883,2844.889893,-2.58
14/03/2011,2845.100098,2852.719971,2713,2787.080078,-2.03
21/03/2011,2787.080078,2891.149902,2787.080078,2881.669922,3.39
28/03/2011,2884.889893,2942.419922,2868.699951,2942.040039,2.09
04/04/2011,2942.080078,2993.909912,2925.52002,2965.120117,0.78
11/04/2011,2965.449951,2983.5,2899.780029,2950.169922,-0.50
18/04/2011,2950.780029,2985.929932,2894.570068,2956.419922,0.21
25/04/2011,2956.419922,3013.439941,2951.310059,3005.169922,1.65
02/05/2011,3005.169922,3008.459961,2918.330078,2992.590088,-0.42
09/05/2011,2993.889893,3037.889893,2972.919922,3005.040039,0.42
16/05/2011,3006.26001,3006.26001,2955.120117,2967.73999,-1.24
23/05/2011,2967.949951,2973.340088,2908.810059,2967.550049,-0.01
30/05/2011,2967.550049,3011.199951,2935.790039,2940.5,-0.91
06/06/2011,2937.169922,2940.350098,2884.399902,2884.399902,-1.91
13/06/2011,2884.399902,2927.320068,2843.909912,2886.629883,0.08
20/06/2011,2887.179932,2923.860107,2866.610107,2882.570068,-0.14
27/06/2011,2882.570068,3004.560059,2877.040039,2994.179932,3.87
04/07/2011,3000.340088,3031.719971,2921.620117,2943.530029,-1.69
11/07/2011,2943.530029,2943.530029,2831.5,2861.689941,-2.78
18/07/2011,2861.949951,2948.439941,2825.709961,2927.379883,2.30
25/07/2011,2927.379883,2932.909912,2788.77002,2821.280029,-3.62
01/08/2011,2819.780029,2844.5,2471.370117,2506.47998,-11.16
08/08/2011,2506.959961,2544.649902,2333.350098,2520.439941,0.56
15/08/2011,2524.540039,2580.23999,2391.340088,2419.77002,-3.99
22/08/2011,2420.590088,2494.48999,2388.040039,2429.939941,0.42
29/08/2011,2429.120117,2609.01001,2429.120117,2521.290039,3.76
05/09/2011,2519.060059,2547.820068,2411.290039,2444.02002,-3.06
12/09/2011,2443.199951,2514.350098,2380.679932,2497.22998,2.18
19/09/2011,2497.22998,2497.22998,2340.300049,2404.73999,-3.70
26/09/2011,2403.909912,2529.219971,2381.399902,2503.189941,4.09
