Date,Open,High,Low,Close,% Change OMX
14/05/2007,1254.449951,1269.459961,1254.449951,1269.459961,2.34
21/05/2007,1263.300049,1279.170044,1255.48999,1269.040039,-0.03
28/05/2007,1275.089966,1292.02002,1261.27002,1292.02002,1.81
04/06/2007,1284.819946,1284.819946,1232.800049,1238.910034,-4.11
11/06/2007,1249.699951,1276.030029,1237.400024,1276.030029,3.00
18/06/2007,1288.089966,1288.089966,1252.880005,1252.880005,-1.81
25/06/2007,1250.160034,1257.939941,1241.219971,1254.859985,0.16
02/07/2007,1254.48999,1279.48999,1254.48999,1278.380005,1.87
09/07/2007,1293.25,1308.76001,1284.579956,1308.76001,2.38
16/07/2007,1311.869995,1311.869995,1283.170044,1283.170044,-1.96
23/07/2007,1293.170044,1293.170044,1212.339966,1215.459961,-5.28
30/07/2007,1228.390015,1243.869995,1220.76001,1220.76001,0.44
06/08/2007,1203.839966,1243.48999,1170.079956,1170.079956,-4.15
13/08/2007,1205.449951,1205.449951,1145.430054,1163.209961,-0.59
20/08/2007,1176.219971,1209.810059,1170.25,1209.810059,4.01
27/08/2007,1200.75,1213.23999,1170.890015,1213.23999,0.28
03/09/2007,1222.310059,1226.079956,1159.949951,1159.949951,-4.39
10/09/2007,1147.199951,1196.630005,1147.199951,1179.76001,1.71
17/09/2007,1160.75,1221.77002,1160.75,1212.540039,2.78
24/09/2007,1198.5,1221.540039,1184.48999,1221.540039,0.74
01/10/2007,1229.300049,1257.699951,1229.300049,1257.699951,2.96
08/10/2007,1251.790039,1267.699951,1251.790039,1260.300049,0.21
15/10/2007,1249.650024,1249.650024,1169.689941,1169.689941,-7.19
22/10/2007,1145.869995,1175.390015,1145.869995,1173.310059,0.31
29/10/2007,1176.619995,1183.199951,1153.219971,1153.219971,-1.71
05/11/2007,1157.550049,1163.209961,1115.089966,1115.089966,-3.31
12/11/2007,1126,1126,1096.689941,1096.689941,-1.65
19/11/2007,1065.73999,1076.949951,1053.640015,1055.930054,-3.72
26/11/2007,1062.650024,1106.709961,1058.630005,1106.709961,4.81
03/12/2007,1102.189941,1119.699951,1081.219971,1119.699951,1.17
10/12/2007,1130.900024,1131.579956,1097.689941,1097.689941,-1.97
17/12/2007,1067.849976,1078.930054,1059.98999,1078.930054,-1.71
24/12/2007,1073.660034,1081.439941,1073.660034,1081.439941,0.23
31/12/2007,1081.439941,1081.439941,1014.630005,1014.630005,-6.18
07/01/2008,1011.48999,1024.420044,987.940002,987.940002,-2.63
14/01/2008,1008,1008,957.630005,957.630005,-3.07
21/01/2008,917.75,961.690002,917.75,961.690002,0.42
28/01/2008,949.080017,976.429993,949.039978,976.429993,1.53
04/02/2008,976.460022,976.460022,920.76001,920.76001,-5.70
11/02/2008,911.390015,950.840027,911.390015,938.789978,1.96
18/02/2008,962.130005,967.419983,944.130005,944.130005,0.57
25/02/2008,961.880005,986.299988,961.880005,965.289978,2.24
03/03/2008,954.219971,954.219971,925.539978,925.539978,-4.12
10/03/2008,914.679993,947.789978,914.679993,924.219971,-0.14
17/03/2008,886.559998,914.549988,886.559998,894.780029,-3.19
24/03/2008,932.090027,952.98999,931.869995,951.710022,6.36
31/03/2008,952.130005,996.909973,952.130005,979.570007,2.93
07/04/2008,993.340027,993.340027,956.52002,956.52002,-2.35
14/04/2008,948.400024,981.440002,948.400024,981.440002,2.61
21/04/2008,969.190002,998.830017,962.349976,998.830017,1.77
28/04/2008,1005.309998,1008.200012,986.059998,1008.200012,0.94
05/05/2008,1009.330017,1020.049988,1003.51001,1003.51001,-0.47
12/05/2008,1008.299988,1023.179993,1008.299988,1023.179993,1.96
19/05/2008,1036.859985,1036.859985,994.22998,994.22998,-2.83
26/05/2008,997.559998,1004.900024,993,1004.900024,1.07
02/06/2008,995.590027,997.859985,981.150024,981.150024,-2.36
09/06/2008,957.830017,957.830017,934.859985,947.580017,-3.42
16/06/2008,947.48999,956.900024,932.820007,932.820007,-1.56
23/06/2008,914.400024,914.400024,862.650024,862.650024,-7.52
30/06/2008,857.650024,857.650024,839.919983,839.919983,-2.63
07/07/2008,853.140015,853.140015,813.599976,813.599976,-3.13
14/07/2008,826.590027,881.02002,814.98999,881.02002,8.29
21/07/2008,886.619995,886.619995,857.330017,858.289978,-2.58
28/07/2008,850.309998,867.440002,850.309998,854.679993,-0.42
04/08/2008,847.150024,886.52002,847.150024,885.01001,3.55
11/08/2008,900.26001,900.26001,868.809998,873.330017,-1.32
18/08/2008,875.27002,875.27002,837.070007,865.02002,-0.95
25/08/2008,852.200012,876.73999,852.200012,870.859985,0.68
01/09/2008,873.409973,889.359985,825.01001,825.01001,-5.26
08/09/2008,855.950012,855.950012,827.659973,847.789978,2.76
15/09/2008,822.599976,851.719971,779.369995,851.719971,0.46
22/09/2008,836.429993,836.859985,816.700012,821.380005,-3.56
29/09/2008,774.330017,780.390015,761.690002,780.390015,-4.99
06/10/2008,723.909973,723.909973,622.97998,622.97998,-20.17
13/10/2008,675.849976,686.23999,627.549988,632.340027,1.50
20/10/2008,661.700012,666.799988,593.869995,593.869995,-6.08
27/10/2008,575.710022,646.090027,575.710022,638.909973,7.58
03/11/2008,667.880005,713.669983,658.02002,679.200012,6.31
10/11/2008,684.710022,684.710022,630.26001,635.590027,-6.42
17/11/2008,631.919983,631.919983,560.940002,567.609985,-10.70
24/11/2008,567.609985,647.880005,567.609985,641.73999,13.06
01/12/2008,641.73999,664.359985,591.700012,608.640015,-5.16
08/12/2008,608.640015,692.210022,608.640015,659.799988,8.41
15/12/2008,659.799988,679.25,650.25,663.97998,0.63
22/12/2008,663.97998,664.440002,650.119995,659.179993,-0.72
29/12/2008,659.179993,695.719971,654.47998,693.780029,5.25
05/01/2009,693.780029,704.48999,683.409973,685.830017,-1.15
12/01/2009,685.830017,685.830017,612.150024,628.690002,-8.33
19/01/2009,628.690002,638.570007,591.619995,604.119995,-3.91
26/01/2009,604.119995,643.22998,600.380005,617.380005,2.19
02/02/2009,617.5,673.650024,595.619995,670.539978,8.61
09/02/2009,670.280029,690.51001,657.98999,677.700012,1.07
16/02/2009,676.820007,686.659973,635.929993,636.140015,-6.13
23/02/2009,636.140015,646.400024,608.570007,640.390015,0.67
02/03/2009,638.380005,638.630005,602.659973,607.450012,-5.14
09/03/2009,606.570007,685.330017,593.280029,659.309998,8.54
16/03/2009,660.52002,689.960022,655.659973,661.590027,0.35
23/03/2009,661.469971,678.400024,646.159973,655.590027,-0.91
30/03/2009,653.880005,726.97998,629.690002,711.159973,8.48
06/04/2009,710.669983,727.869995,689.780029,717.65802,0.91
13/04/2009,717.659973,771.440002,717.169983,767.75,6.98
20/04/2009,767.380005,781.840027,715.27002,779.159973,1.49
27/04/2009,778.789978,784.419983,745.349976,763.890015,-1.96
04/05/2009,761.090027,816.349976,760.840027,802.030029,4.99
11/05/2009,802.150024,804.179993,734.119995,764.77002,-4.65
18/05/2009,764.039978,798.919983,751.049988,769.400024,0.61
25/05/2009,769.159973,783.710022,752.809998,776.5,0.92
01/06/2009,777.349976,802.919983,761.030029,770.47998,-0.78
08/06/2009,771.090027,810.030029,755.530029,799.650024,3.79
15/06/2009,799.650024,799.890015,767.830017,778.090027,-2.70
22/06/2009,778.090027,792.070007,749.070007,786.820007,1.12
29/06/2009,785.849976,814.72998,784.960022,790.450012,0.46
06/07/2009,790.210022,793.400024,770.23999,774.119995,-2.07
13/07/2009,774,844.130005,766.710022,842.150024,8.79
20/07/2009,842.150024,874.47998,838.26001,870.97998,3.42
27/07/2009,871.820007,884.119995,849.179993,882.049988,1.27
03/08/2009,881.450012,896.809998,864.080017,892.190002,1.15
10/08/2009,892.190002,898.159973,859.27002,876.73999,-1.73
17/08/2009,876.73999,917.179993,853.26001,913.840027,4.23
24/08/2009,914.570007,925.030029,894.900024,919.909973,0.66
31/08/2009,919.669983,919.669983,867.880005,891.390015,-3.10
07/09/2009,892.349976,926.679993,892.349976,918.190002,3.01
14/09/2009,917.219971,929.590027,901.159973,920.22998,0.22
21/09/2009,919.98999,928.940002,895.76001,899.869995,-2.21
28/09/2009,899.51001,917.640015,859.880005,867.840027,-3.56
05/10/2009,867.599976,903.969971,865.690002,899.700012,3.67
12/10/2009,899.719971,938.630005,899.640015,927.76001,3.12
19/10/2009,927.400024,950.890015,920.330017,932.289978,0.49
26/10/2009,932.469971,949.48999,915.650024,944.669983,1.33
02/11/2009,942.340027,950.26001,916.789978,941.47998,-0.34
09/11/2009,941.539978,976.859985,941.539978,967.440002,2.76
16/11/2009,967.619995,975.52002,947.390015,951.570007,-1.64
23/11/2009,951.690002,976.599976,926.630005,952.530029,0.10
30/11/2009,952.169983,973.580017,936.190002,966.969971,1.52
07/12/2009,966.669983,973.27002,941.219971,949.840027,-1.77
14/12/2009,950.48999,960.580017,935.809998,936.030029,-1.45
21/12/2009,935.909973,967.01001,935.909973,961.539978,2.73
28/12/2009,961.369995,969.419983,951.539978,951.719971,-1.02
04/01/2010,951.719971,974.900024,951.719971,973.440002,2.28
11/01/2010,973.150024,986,964.349976,970.650024,-0.29
18/01/2010,970.409973,977.830017,943.609985,951.059998,-2.02
25/01/2010,948.809998,965.090027,934.659973,953.710022,0.28
01/02/2010,952.820007,975.25,934.380005,935.890015,-1.87
08/02/2010,939.919983,951.960022,920.289978,931.349976,-0.49
15/02/2010,932.859985,957.450012,919.390015,957.27002,2.78
22/02/2010,958.969971,959.109985,935.880005,947.390015,-1.03
01/03/2010,954.200012,999.650024,953.539978,998.070007,5.35
08/03/2010,1001.039978,1022.47998,994.929993,1018.150024,2.01
15/03/2010,1017.340027,1028.530029,1011.830017,1020.26001,0.21
22/03/2010,1017.619995,1036.300049,1011.830017,1027.420044,0.70
29/03/2010,1030.52002,1037.040039,1016.26001,1036.930054,0.93
05/04/2010,1036.930054,1046.579956,1028.469971,1044.579956,0.74
12/04/2010,1048.859985,1063.609985,1037.560059,1050.23999,0.54
19/04/2010,1044.439941,1068.290039,1028.810059,1066.819946,1.58
26/04/2010,1074.790039,1077.469971,1032.790039,1053.880005,-1.21
03/05/2010,1049.540039,1062.880005,929.02002,944.570007,-10.37
10/05/2010,977.97998,1013.570007,974.440002,984.909973,4.27
17/05/2010,976.900024,1003.880005,933.159973,953.77002,-3.16
24/05/2010,962.97998,988.919983,923.130005,979.119995,2.66
31/05/2010,979.460022,1014.940002,961.159973,988.460022,0.95
07/06/2010,975.219971,1022.390015,963.549988,1016.289978,2.82
14/06/2010,1022.929993,1056.650024,1022.929993,1054.579956,3.77
21/06/2010,1066,1069.719971,1019.869995,1021.429993,-3.14
